timestamp,elapsed_sec,total_flows,device_id,device_flow_count
2026-04-24T23:52:37,178.08,68,of:0000000000000006,6
2026-04-24T23:52:37,178.08,68,of:0000000000000009,4
2026-04-24T23:52:38,179.09,68,of:000000000000000c,4
2026-04-24T23:52:38,179.09,68,of:000000000000000d,7
2026-04-24T23:52:38,179.09,68,of:000000000000000a,6
2026-04-24T23:52:38,179.09,68,of:000000000000000b,7
2026-04-24T23:52:38,179.09,68,of:0000000000000003,6
2026-04-24T23:52:38,179.09,68,of:0000000000000004,4
2026-04-24T23:52:38,179.09,68,of:0000000000000001,4
2026-04-24T23:52:38,179.09,68,of:0000000000000002,5
2026-04-24T23:52:38,179.09,68,of:0000000000000007,5
2026-04-24T23:52:38,179.09,68,of:0000000000000008,6
2026-04-24T23:52:38,179.09,68,of:0000000000000005,4
2026-04-24T23:52:38,179.09,68,of:0000000000000006,6
2026-04-24T23:52:38,179.09,68,of:0000000000000009,4
2026-04-24T23:52:39,180.1,68,of:000000000000000c,4
2026-04-24T23:52:39,180.1,68,of:000000000000000d,7
2026-04-24T23:52:39,180.1,68,of:000000000000000a,6
2026-04-24T23:52:39,180.1,68,of:000000000000000b,7
2026-04-24T23:52:39,180.1,68,of:0000000000000003,6
2026-04-24T23:52:39,180.1,68,of:0000000000000004,4
2026-04-24T23:52:39,180.1,68,of:0000000000000001,4
2026-04-24T23:52:39,180.1,68,of:0000000000000002,5
2026-04-24T23:52:39,180.1,68,of:0000000000000007,5
2026-04-24T23:52:39,180.1,68,of:0000000000000008,6
2026-04-24T23:52:39,180.1,68,of:0000000000000005,4
2026-04-24T23:52:39,180.1,68,of:0000000000000006,6
2026-04-24T23:52:39,180.1,68,of:0000000000000009,4
2026-04-24T23:52:40,181.11,68,of:000000000000000c,4
2026-04-24T23:52:40,181.11,68,of:000000000000000d,7
2026-04-24T23:52:40,181.11,68,of:000000000000000a,6
2026-04-24T23:52:40,181.11,68,of:000000000000000b,7
2026-04-24T23:52:40,181.11,68,of:0000000000000003,6
2026-04-24T23:52:40,181.11,68,of:0000000000000004,4
2026-04-24T23:52:40,181.11,68,of:0000000000000001,4
2026-04-24T23:52:40,181.11,68,of:0000000000000002,5
2026-04-24T23:52:40,181.11,68,of:0000000000000007,5
2026-04-24T23:52:40,181.11,68,of:0000000000000008,6
2026-04-24T23:52:40,181.11,68,of:0000000000000005,4
2026-04-24T23:52:40,181.11,68,of:0000000000000006,6
2026-04-24T23:52:40,181.11,68,of:0000000000000009,4
2026-04-24T23:52:41,182.12,68,of:000000000000000c,4
2026-04-24T23:52:41,182.12,68,of:000000000000000d,7
2026-04-24T23:52:41,182.12,68,of:000000000000000a,6
2026-04-24T23:52:41,182.12,68,of:000000000000000b,7
2026-04-24T23:52:41,182.12,68,of:0000000000000003,6
2026-04-24T23:52:41,182.12,68,of:0000000000000004,4
2026-04-24T23:52:41,182.12,68,of:0000000000000001,4
2026-04-24T23:52:41,182.12,68,of:0000000000000002,5
2026-04-24T23:52:41,182.12,68,of:0000000000000007,5
2026-04-24T23:52:41,182.12,68,of:0000000000000008,6
2026-04-24T23:52:41,182.12,68,of:0000000000000005,4
2026-04-24T23:52:41,182.12,68,of:0000000000000006,6
2026-04-24T23:52:41,182.12,68,of:0000000000000009,4
2026-04-24T23:52:42,183.13,68,of:000000000000000c,4
2026-04-24T23:52:42,183.13,68,of:000000000000000d,7
2026-04-24T23:52:42,183.13,68,of:000000000000000a,6
2026-04-24T23:52:42,183.13,68,of:000000000000000b,7
2026-04-24T23:52:42,183.13,68,of:0000000000000003,6
2026-04-24T23:52:42,183.13,68,of:0000000000000004,4
2026-04-24T23:52:42,183.13,68,of:0000000000000001,4
2026-04-24T23:52:42,183.13,68,of:0000000000000002,5
2026-04-24T23:52:42,183.13,68,of:0000000000000007,5
2026-04-24T23:52:42,183.13,68,of:0000000000000008,6
2026-04-24T23:52:42,183.13,68,of:0000000000000005,4
2026-04-24T23:52:42,183.13,68,of:0000000000000006,6
2026-04-24T23:52:42,183.13,68,of:0000000000000009,4
2026-04-24T23:52:44,184.91,68,of:000000000000000c,4
2026-04-24T23:52:44,184.91,68,of:000000000000000d,7
2026-04-24T23:52:44,184.91,68,of:000000000000000a,6
2026-04-24T23:52:44,184.91,68,of:000000000000000b,7
2026-04-24T23:52:44,184.91,68,of:0000000000000003,6
2026-04-24T23:52:44,184.91,68,of:0000000000000004,4
2026-04-24T23:52:44,184.91,68,of:0000000000000001,4
2026-04-24T23:52:44,184.91,68,of:0000000000000002,5
2026-04-24T23:52:44,184.91,68,of:0000000000000007,5
2026-04-24T23:52:44,184.91,68,of:0000000000000008,6
2026-04-24T23:52:44,184.91,68,of:0000000000000005,4
2026-04-24T23:52:44,184.91,68,of:0000000000000006,6
2026-04-24T23:52:44,184.91,68,of:0000000000000009,4
2026-04-24T23:52:45,186.17,68,of:000000000000000c,4
2026-04-24T23:52:45,186.17,68,of:000000000000000d,7
2026-04-24T23:52:45,186.17,68,of:000000000000000a,6
2026-04-24T23:52:45,186.17,68,of:000000000000000b,7
2026-04-24T23:52:45,186.17,68,of:0000000000000003,6
2026-04-24T23:52:45,186.17,68,of:0000000000000004,4
2026-04-24T23:52:45,186.17,68,of:0000000000000001,4
2026-04-24T23:52:45,186.17,68,of:0000000000000002,5
2026-04-24T23:52:45,186.17,68,of:0000000000000007,5
2026-04-24T23:52:45,186.17,68,of:0000000000000008,6
2026-04-24T23:52:45,186.17,68,of:0000000000000005,4
2026-04-24T23:52:45,186.17,68,of:0000000000000006,6
2026-04-24T23:52:45,186.17,68,of:0000000000000009,4
2026-04-24T23:52:46,187.18,68,of:000000000000000c,4
2026-04-24T23:52:46,187.18,68,of:000000000000000d,7
2026-04-24T23:52:46,187.18,68,of:000000000000000a,6
2026-04-24T23:52:46,187.18,68,of:000000000000000b,7
2026-04-24T23:52:46,187.18,68,of:0000000000000003,6
2026-04-24T23:52:46,187.18,68,of:0000000000000004,4
2026-04-24T23:52:46,187.18,68,of:0000000000000001,4
2026-04-24T23:52:46,187.18,68,of:0000000000000002,5
2026-04-24T23:52:46,187.18,68,of:0000000000000007,5
2026-04-24T23:52:46,187.18,68,of:0000000000000008,6
2026-04-24T23:52:46,187.18,68,of:0000000000000005,4
2026-04-24T23:52:46,187.18,68,of:0000000000000006,6
2026-04-24T23:52:46,187.18,68,of:0000000000000009,4
2026-04-24T23:52:47,188.19,68,of:000000000000000c,4
2026-04-24T23:52:47,188.19,68,of:000000000000000d,7
2026-04-24T23:52:47,188.19,68,of:000000000000000a,6
2026-04-24T23:52:47,188.19,68,of:000000000000000b,7
2026-04-24T23:52:47,188.19,68,of:0000000000000003,6
2026-04-24T23:52:47,188.19,68,of:0000000000000004,4
2026-04-24T23:52:47,188.19,68,of:0000000000000001,4
2026-04-24T23:52:47,188.19,68,of:0000000000000002,5
2026-04-24T23:52:47,188.19,68,of:0000000000000007,5
2026-04-24T23:52:47,188.19,68,of:0000000000000008,6
2026-04-24T23:52:47,188.19,68,of:0000000000000005,4
2026-04-24T23:52:47,188.19,68,of:0000000000000006,6
2026-04-24T23:52:47,188.19,68,of:0000000000000009,4
2026-04-24T23:52:48,189.2,68,of:000000000000000c,4
2026-04-24T23:52:48,189.2,68,of:000000000000000d,7
2026-04-24T23:52:48,189.2,68,of:000000000000000a,6
2026-04-24T23:52:48,189.2,68,of:000000000000000b,7
2026-04-24T23:52:48,189.2,68,of:0000000000000003,6
2026-04-24T23:52:48,189.2,68,of:0000000000000004,4
2026-04-24T23:52:48,189.2,68,of:0000000000000001,4
2026-04-24T23:52:48,189.2,68,of:0000000000000002,5
2026-04-24T23:52:48,189.2,68,of:0000000000000007,5
2026-04-24T23:52:48,189.2,68,of:0000000000000008,6
2026-04-24T23:52:48,189.2,68,of:0000000000000005,4
2026-04-24T23:52:48,189.2,68,of:0000000000000006,6
2026-04-24T23:52:48,189.2,68,of:0000000000000009,4
2026-04-24T23:52:49,190.21,68,of:000000000000000c,4
2026-04-24T23:52:49,190.21,68,of:000000000000000d,7
2026-04-24T23:52:49,190.21,68,of:000000000000000a,6
2026-04-24T23:52:49,190.21,68,of:000000000000000b,7
2026-04-24T23:52:49,190.21,68,of:0000000000000003,6
2026-04-24T23:52:49,190.21,68,of:0000000000000004,4
2026-04-24T23:52:49,190.21,68,of:0000000000000001,4
2026-04-24T23:52:49,190.21,68,of:0000000000000002,5
2026-04-24T23:52:49,190.21,68,of:0000000000000007,5
2026-04-24T23:52:49,190.21,68,of:0000000000000008,6
2026-04-24T23:52:49,190.21,68,of:0000000000000005,4
2026-04-24T23:52:49,190.21,68,of:0000000000000006,6
2026-04-24T23:52:49,190.21,68,of:0000000000000009,4
2026-04-24T23:52:50,191.23,68,of:000000000000000c,4
2026-04-24T23:52:50,191.23,68,of:000000000000000d,7
2026-04-24T23:52:50,191.23,68,of:000000000000000a,6
2026-04-24T23:52:50,191.23,68,of:000000000000000b,7
2026-04-24T23:52:50,191.23,68,of:0000000000000003,6
2026-04-24T23:52:50,191.23,68,of:0000000000000004,4
2026-04-24T23:52:50,191.23,68,of:0000000000000001,4
2026-04-24T23:52:50,191.23,68,of:0000000000000002,5
2026-04-24T23:52:50,191.23,68,of:0000000000000007,5
2026-04-24T23:52:50,191.23,68,of:0000000000000008,6
2026-04-24T23:52:50,191.23,68,of:0000000000000005,4
2026-04-24T23:52:50,191.23,68,of:0000000000000006,6
2026-04-24T23:52:50,191.23,68,of:0000000000000009,4
2026-04-24T23:52:51,192.24,68,of:000000000000000c,4
2026-04-24T23:52:51,192.24,68,of:000000000000000d,7
2026-04-24T23:52:51,192.24,68,of:000000000000000a,6
2026-04-24T23:52:51,192.24,68,of:000000000000000b,7
2026-04-24T23:52:51,192.24,68,of:0000000000000003,6
2026-04-24T23:52:51,192.24,68,of:0000000000000004,4
2026-04-24T23:52:51,192.24,68,of:0000000000000001,4
2026-04-24T23:52:51,192.24,68,of:0000000000000002,5
2026-04-24T23:52:51,192.24,68,of:0000000000000007,5
2026-04-24T23:52:51,192.24,68,of:0000000000000008,6
2026-04-24T23:52:51,192.24,68,of:0000000000000005,4
2026-04-24T23:52:51,192.24,68,of:0000000000000006,6
2026-04-24T23:52:51,192.24,68,of:0000000000000009,4
2026-04-24T23:52:52,193.26,68,of:000000000000000c,4
2026-04-24T23:52:52,193.26,68,of:000000000000000d,7
2026-04-24T23:52:52,193.26,68,of:000000000000000a,6
2026-04-24T23:52:52,193.26,68,of:000000000000000b,7
2026-04-24T23:52:52,193.26,68,of:0000000000000003,6
2026-04-24T23:52:52,193.26,68,of:0000000000000004,4
2026-04-24T23:52:52,193.26,68,of:0000000000000001,4
2026-04-24T23:52:52,193.26,68,of:0000000000000002,5
2026-04-24T23:52:52,193.26,68,of:0000000000000007,5
2026-04-24T23:52:52,193.26,68,of:0000000000000008,6
2026-04-24T23:52:52,193.26,68,of:0000000000000005,4
2026-04-24T23:52:52,193.26,68,of:0000000000000006,6
2026-04-24T23:52:52,193.26,68,of:0000000000000009,4
2026-04-24T23:52:53,194.27,68,of:000000000000000c,4
2026-04-24T23:52:53,194.27,68,of:000000000000000d,7
2026-04-24T23:52:53,194.27,68,of:000000000000000a,6
2026-04-24T23:52:53,194.27,68,of:000000000000000b,7
2026-04-24T23:52:53,194.27,68,of:0000000000000003,6
2026-04-24T23:52:53,194.27,68,of:0000000000000004,4
2026-04-24T23:52:53,194.27,68,of:0000000000000001,4
2026-04-24T23:52:53,194.27,68,of:0000000000000002,5
2026-04-24T23:52:53,194.27,68,of:0000000000000007,5
2026-04-24T23:52:53,194.27,68,of:0000000000000008,6
2026-04-24T23:52:53,194.27,68,of:0000000000000005,4
2026-04-24T23:52:53,194.27,68,of:0000000000000006,6
2026-04-24T23:52:53,194.27,68,of:0000000000000009,4
2026-04-24T23:52:54,195.28,68,of:000000000000000c,4
2026-04-24T23:52:54,195.28,68,of:000000000000000d,7
2026-04-24T23:52:54,195.28,68,of:000000000000000a,6
2026-04-24T23:52:54,195.28,68,of:000000000000000b,7
2026-04-24T23:52:54,195.28,68,of:0000000000000003,6
2026-04-24T23:52:54,195.28,68,of:0000000000000004,4
2026-04-24T23:52:54,195.28,68,of:0000000000000001,4
