src_host,dst_host,avg_rtt_ms,packet_loss_pct
h1,h34,119.590,0
h1,h35,110.971,0
h1,h36,110.966,0
h1,h37,112.952,0
h1,h38,104.269,0
h1,h39,97.895,0
h1,h2,103.888,0
h1,h3,103.082,0
h1,h4,113.479,0
h1,h5,105.261,0
h1,h6,104.128,0
h1,h7,103.423,0
h1,h8,103.920,0
h1,h9,101.021,0
h1,h10,106.206,0
h1,h11,111.408,0
h1,h12,107.003,0
h1,h13,112.933,0
h1,h14,110.308,0
h1,h15,104.175,0
h1,h16,108.094,0
h1,h17,92.326,0
h1,h18,102.764,0
h1,h19,128.028,0
h1,h20,107.356,0
h1,h21,109.763,0
h1,h22,106.794,0
h1,h23,105.681,0
h1,h24,126.177,0
h1,h25,108.135,0
h1,h26,93.305,0
h1,h27,119.065,0
h1,h28,114.612,0
h1,h29,97.041,0
h1,h30,114.520,0
h1,h31,109.807,0
h1,h32,112.466,0
h1,h33,106.177,0
h1,h34,93.991,0
h1,h35,103.723,0
h1,h36,104.061,0
h1,h37,101.686,0
h1,h38,104.896,0
h1,h39,107.414,0
h1,h2,98.463,0
h1,h3,100.890,0
h1,h4,98.770,0
h1,h5,95.986,0
h1,h6,105.369,0
h1,h7,103.403,0
h1,h8,98.153,0
h1,h9,96.810,0
h1,h10,133.261,0
h1,h11,91.422,0
h1,h12,100.572,0
h1,h13,98.873,0
h1,h14,102.591,0
h1,h15,96.411,0
h1,h16,94.439,0
h1,h17,104.481,0
h1,h18,104.131,0
h1,h19,119.929,0
h1,h20,105.310,0
h1,h21,103.138,0
h1,h22,98.442,0
h1,h23,102.048,0
h1,h24,105.101,0
h1,h25,102.806,0
h1,h26,99.574,0
h1,h27,98.744,0
h1,h28,104.572,0
h1,h29,108.709,0
h1,h30,103.541,0
h1,h31,98.459,0
h1,h32,99.576,0
h1,h33,93.640,0
h1,h34,102.551,0
h1,h35,98.838,0
h1,h36,97.750,0
h1,h37,108.276,0
h1,h38,103.003,0
h1,h39,103.489,0
h1,h2,102.524,0
h1,h3,98.116,0
h1,h4,99.896,0
h1,h5,97.509,0
h1,h6,98.847,0
h1,h7,95.984,0
h1,h8,99.356,0
h1,h9,99.296,0
h1,h10,101.004,0
h1,h11,105.910,0
h1,h12,94.114,0
h1,h13,94.519,0
h1,h14,95.857,0
h1,h15,101.732,0
h1,h16,93.083,0
h1,h17,93.485,0
h1,h18,98.316,0
h1,h19,105.771,0
h1,h20,100.540,0
h1,h21,98.588,0
h1,h22,92.153,0
h1,h23,91.883,0
h1,h24,99.421,0
h1,h25,98.028,0
h1,h26,92.439,0
h1,h27,133.331,0
h1,h28,192.682,0
h1,h29,188.834,0
