timestep,time_seconds,time_hours,pmu_id,gen_bus,rank,importance_score
22,110,0.030555556,8,38,5,0.202422944
22,110,0.030555556,2,32,6,0.193112596
22,110,0.030555556,7,37,7,0.182208581
22,110,0.030555556,9,39,8,0.002158854
22,110,0.030555556,6,36,9,0.001209177
22,110,0.030555556,10,31,10,0
23,115,0.031944444,5,35,1,0.3
23,115,0.031944444,3,33,2,0.286787844
23,115,0.031944444,1,30,3,0.235111221
23,115,0.031944444,4,34,4,0.223772301
23,115,0.031944444,8,38,5,0.202322675
23,115,0.031944444,2,32,6,0.194267448
23,115,0.031944444,7,37,7,0.182238005
23,115,0.031944444,9,39,8,0.002160227
23,115,0.031944444,6,36,9,0.001209171
23,115,0.031944444,10,31,10,0
24,120,0.033333333,5,35,1,0.3
24,120,0.033333333,3,33,2,0.286756524
24,120,0.033333333,1,30,3,0.23489177
24,120,0.033333333,4,34,4,0.223897775
24,120,0.033333333,8,38,5,0.20241528
24,120,0.033333333,2,32,6,0.193198709
24,120,0.033333333,7,37,7,0.182210711
24,120,0.033333333,9,39,8,0.002158952
24,120,0.033333333,6,36,9,0.001209176
24,120,0.033333333,10,31,10,0
25,125,0.034722222,5,35,1,0.3
25,125,0.034722222,3,33,2,0.286783627
25,125,0.034722222,1,30,3,0.235082917
25,125,0.034722222,4,34,4,0.223788021
25,125,0.034722222,8,38,5,0.202334176
25,125,0.034722222,2,32,6,0.194132199
25,125,0.034722222,7,37,7,0.182234529
25,125,0.034722222,9,39,8,0.00216006
25,125,0.034722222,6,36,9,0.001209171
25,125,0.034722222,10,31,10,0
26,130,0.036111111,5,35,1,0.3
26,130,0.036111111,3,33,2,0.286778836
26,130,0.036111111,1,30,3,0.235049915
26,130,0.036111111,4,34,4,0.223806698
26,130,0.036111111,8,38,5,0.202347886
26,130,0.036111111,2,32,6,0.193973461
26,130,0.036111111,7,37,7,0.18223064
26,130,0.036111111,9,39,8,0.002159869
26,130,0.036111111,6,36,9,0.001209172
26,130,0.036111111,10,31,10,0
27,135,0.0375,5,35,1,0.3
27,135,0.0375,3,33,2,0.286772947
27,135,0.0375,1,30,3,0.235009396
27,135,0.0375,4,34,4,0.223829581
27,135,0.0375,8,38,5,0.202364731
27,135,0.0375,2,32,6,0.193777189
27,135,0.0375,7,37,7,0.182225517
27,135,0.0375,9,39,8,0.002159631
27,135,0.0375,6,36,9,0.001209172
27,135,0.0375,10,31,10,0
28,140,0.038888889,5,35,1,0.3
28,140,0.038888889,3,33,2,0.28679939
28,140,0.038888889,1,30,3,0.235192154
28,140,0.038888889,4,34,4,0.223725833
28,140,0.038888889,8,38,5,0.202288782
28,140,0.038888889,2,32,6,0.194650277
28,140,0.038888889,7,37,7,0.182245389
28,140,0.038888889,9,39,8,0.002160675
28,140,0.038888889,6,36,9,0.001209166
28,140,0.038888889,10,31,10,0
29,145,0.040277778,5,35,1,0.3
29,145,0.040277778,3,33,2,0.286774629
29,145,0.040277778,1,30,3,0.235022326
29,145,0.040277778,4,34,4,0.223821704
29,145,0.040277778,8,38,5,0.20235891
29,145,0.040277778,2,32,6,0.193840113
29,145,0.040277778,7,37,7,0.182226576
29,145,0.040277778,9,39,8,0.002159699
29,145,0.040277778,6,36,9,0.001209171
29,145,0.040277778,10,31,10,0
30,150,0.041666667,5,35,1,0.3
30,150,0.041666667,3,33,2,0.286791855
30,150,0.041666667,1,30,3,0.235142364
30,150,0.041666667,4,34,4,0.22375318
30,150,0.041666667,8,38,5,0.202308659
30,150,0.041666667,2,32,6,0.194415851
30,150,0.041666667,7,37,7,0.182239683
30,150,0.041666667,9,39,8,0.002160382
30,150,0.041666667,6,36,9,0.001209166
30,150,0.041666667,10,31,10,0
31,155,0.043055556,5,35,1,0.3
31,155,0.043055556,3,33,2,0.286755696
31,155,0.043055556,1,30,3,0.234890267
31,155,0.043055556,4,34,4,0.223896803
31,155,0.043055556,8,38,5,0.202414517
31,155,0.043055556,2,32,6,0.193191555
31,155,0.043055556,7,37,7,0.182208563
31,155,0.043055556,9,39,8,0.002158915
31,155,0.043055556,6,36,9,0.001209171
31,155,0.043055556,10,31,10,0
32,160,0.044444444,5,35,1,0.3
32,160,0.044444444,3,33,2,0.286767056
32,160,0.044444444,1,30,3,0.234972037
32,160,0.044444444,4,34,4,0.223849286
32,160,0.044444444,8,38,5,0.202379243
32,160,0.044444444,2,32,6,0.193595177
32,160,0.044444444,7,37,7,0.182219032
32,160,0.044444444,9,39,8,0.002159389
32,160,0.044444444,6,36,9,0.001209169
32,160,0.044444444,10,31,10,0
33,165,0.045833333,5,35,1,0.3
33,165,0.045833333,3,33,2,0.286788428
33,165,0.045833333,1,30,3,0.235121136
33,165,0.045833333,4,34,4,0.223764212
33,165,0.045833333,8,38,5,0.20231668
33,165,0.045833333,2,32,6,0.194315311
33,165,0.045833333,7,37,7,0.182236419
33,165,0.045833333,9,39,8,0.002160247
33,165,0.045833333,6,36,9,0.001209164
33,165,0.045833333,10,31,10,0
34,170,0.047222222,5,35,1,0.3
34,170,0.047222222,3,33,2,0.286787396
34,170,0.047222222,1,30,3,0.235114435
34,170,0.047222222,4,34,4,0.223767835
34,170,0.047222222,8,38,5,0.202319323
34,170,0.047222222,2,32,6,0.194283447
34,170,0.047222222,7,37,7,0.182235521
34,170,0.047222222,9,39,8,0.002160206
34,170,0.047222222,6,36,9,0.001209164
34,170,0.047222222,10,31,10,0
35,175,0.048611111,5,35,1,0.3
35,175,0.048611111,3,33,2,0.286770683
35,175,0.048611111,1,30,3,0.234999171
35,175,0.048611111,4,34,4,0.223833066
35,175,0.048611111,8,38,5,0.202367239
35,175,0.048611111,2,32,6,0.193727908
35,175,0.048611111,7,37,7,0.182221742
35,175,0.048611111,9,39,8,0.002159536
35,175,0.048611111,6,36,9,0.001209166
35,175,0.048611111,10,31,10,0
36,180,0.05,5,35,1,0.3
36,180,0.05,3,33,2,0.286782613
36,180,0.05,1,30,3,0.235083108
36,180,0.05,4,34,4,0.223784886
36,180,0.05,8,38,5,0.202331784
36,180,0.05,2,32,6,0.194133862
36,180,0.05,7,37,7,0.182231318
36,180,0.05,9,39,8,0.002160016
36,180,0.05,6,36,9,0.001209163
36,180,0.05,10,31,10,0
37,185,0.051388889,5,35,1,0.3
37,185,0.051388889,3,33,2,0.286803659
37,185,0.051388889,1,30,3,0.235227469
37,185,0.051388889,4,34,4,0.223703369
37,185,0.051388889,8,38,5,0.2022724
37,185,0.051388889,2,32,6,0.194815935
37,185,0.051388889,7,37,7,0.182245801
37,185,0.051388889,9,39,8,0.002160834
37,185,0.051388889,6,36,9,0.001209157
37,185,0.051388889,10,31,10,0
38,190,0.052777778,5,35,1,0.3
38,190,0.052777778,3,33,2,0.286782497
38,190,0.052777778,1,30,3,0.235083768
38,190,0.052777778,4,34,4,0.223783899
38,190,0.052777778,8,38,5,0.202331041
38,190,0.052777778,2,32,6,0.194137177
38,190,0.052777778,7,37,7,0.182230737
38,190,0.052777778,9,39,8,0.002160011
38,190,0.052777778,6,36,9,0.001209162
38,190,0.052777778,10,31,10,0
39,195,0.054166667,5,35,1,0.3
39,195,0.054166667,3,33,2,0.286801353
39,195,0.054166667,1,30,3,0.235213877
39,195,0.054166667,4,34,4,0.223710122
39,195,0.054166667,8,38,5,0.202277256
39,195,0.054166667,2,32,6,0.19475288
39,195,0.054166667,7,37,7,0.182243635
39,195,0.054166667,9,39,8,0.002160745
39,195,0.054166667,6,36,9,0.001209155
39,195,0.054166667,10,31,10,0
40,200,0.055555556,5,35,1,0.3
40,200,0.055555556,3,33,2,0.286797755
40,200,0.055555556,1,30,3,0.235190561
40,200,0.055555556,4,34,4,0.223722724
40,200,0.055555556,8,38,5,0.202286378
40,200,0.055555556,2,32,6,0.194643954
40,200,0.055555556,7,37,7,0.182240926
40,200,0.055555556,9,39,8,0.002160606
40,200,0.055555556,6,36,9,0.001209155
40,200,0.055555556,10,31,10,0
41,205,0.056944444,5,35,1,0.3
41,205,0.056944444,3,33,2,0.286787805
41,205,0.056944444,1,30,3,0.235123997
41,205,0.056944444,4,34,4,0.223759593
41,205,0.056944444,8,38,5,0.202313207
41,205,0.056944444,2,32,6,0.194329706
41,205,0.056944444,7,37,7,0.182233507
41,205,0.056944444,9,39,8,0.002160218
41,205,0.056944444,6,36,9,0.001209156
41,205,0.056944444,10,31,10,0
42,210,0.058333333,5,35,1,0.3
42,210,0.058333333,3,33,2,0.286779613
42,210,0.058333333,1,30,3,0.235068937
42,210,0.058333333,4,34,4,0.223790162
42,210,0.058333333,8,38,5,0.202335569
42,210,0.058333333,2,32,6,0.194066467
42,210,0.058333333,7,37,7,0.182226747
42,210,0.058333333,9,39,8,0.002159893
42,210,0.058333333,6,36,9,0.001209156
42,210,0.058333333,10,31,10,0
43,215,0.059722222,5,35,1,0.3
43,215,0.059722222,3,33,2,0.286801191
43,215,0.059722222,1,30,3,0.235217906
43,215,0.059722222,4,34,4,0.223705714
43,215,0.059722222,8,38,5,0.202273981
43,215,0.059722222,2,32,6,0.194772303
43,215,0.059722222,7,37,7,0.182241682
43,215,0.059722222,9,39,8,0.002160735
43,215,0.059722222,6,36,9,0.00120915
43,215,0.059722222,10,31,10,0
44,220,0.061111111,5,35,1,0.3
44,220,0.061111111,3,33,2,0.28676525
44,220,0.061111111,1,30,3,0.234971027
44,220,0.061111111,4,34,4,0.223844968
44,220,0.061111111,8,38,5,0.202375922
44,220,0.061111111,2,32,6,0.193591213
44,220,0.061111111,7,37,7,0.182213704
44,220,0.061111111,9,39,8,0.002159309
44,220,0.061111111,6,36,9,0.001209156
44,220,0.061111111,10,31,10,0
45,225,0.0625,5,35,1,0.3
45,225,0.0625,3,33,2,0.286793598
45,225,0.0625,1,30,3,0.235168915
45,225,0.0625,4,34,4,0.223732076
45,225,0.0625,8,38,5,0.202293073
45,225,0.0625,2,32,6,0.194542978
45,225,0.0625,7,37,7,0.182235778
45,225,0.0625,9,39,8,0.002160441
45,225,0.0625,6,36,9,0.001209149
45,225,0.0625,10,31,10,0
46,230,0.063888889,5,35,1,0.3
46,230,0.063888889,3,33,2,0.286793409
46,230,0.063888889,1,30,3,0.23516854
