step,h30_score,h30_kappa,h30_r_i,h30_T_i,h30_age,h30_status,h31_score,h31_kappa,h31_r_i,h31_T_i,h31_age,h31_status,h32_score,h32_kappa,h32_r_i,h32_T_i,h32_age,h32_status,h33_score,h33_kappa,h33_r_i,h33_T_i,h33_age,h33_status,h34_score,h34_kappa,h34_r_i,h34_T_i,h34_age,h34_status,h35_score,h35_kappa,h35_r_i,h35_T_i,h35_age,h35_status,h36_score,h36_kappa,h36_r_i,h36_T_i,h36_age,h36_status,h37_score,h37_kappa,h37_r_i,h37_T_i,h37_age,h37_status,h38_score,h38_kappa,h38_r_i,h38_T_i,h38_age,h38_status,h39_score,h39_kappa,h39_r_i,h39_T_i,h39_age,h39_status
1080,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1086,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1092,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1098,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1104,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1110,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1116,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1122,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1128,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1134,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1140,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1146,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1152,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1158,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1164,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1170,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1176,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1182,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1188,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1194,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1200,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1206,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1212,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1218,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1224,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1230,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1236,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1242,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1248,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1254,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1260,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1266,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1272,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1278,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1284,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1290,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1296,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1302,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1308,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1314,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1320,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1326,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1332,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1338,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1344,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1350,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1356,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1362,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1368,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1374,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1380,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1386,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1392,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1398,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1404,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1410,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1416,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
1422,-0.1364,0.37,0.0,0.0,10,below0,-0.1364,0.13,0.0,0.0,10,below0,-0.1364,0.52,0.0,0.0,10,below0,-0.1364,0.58,0.0,0.0,10,below0,-0.1364,0.4,0.0,0.0,10,below0,-0.1364,0.49,0.0,0.0,10,below0,-0.1364,0.22,0.0,0.0,10,below0,-0.1364,0.31,0.0,0.0,10,below0,-0.1364,0.46,0.0,0.0,10,below0,-0.1364,0.28,0.0,0.0,10,below0
