step,h30_score,h30_kappa,h30_r_i,h30_T_i,h30_age,h30_status,h31_score,h31_kappa,h31_r_i,h31_T_i,h31_age,h31_status,h32_score,h32_kappa,h32_r_i,h32_T_i,h32_age,h32_status,h33_score,h33_kappa,h33_r_i,h33_T_i,h33_age,h33_status,h34_score,h34_kappa,h34_r_i,h34_T_i,h34_age,h34_status,h35_score,h35_kappa,h35_r_i,h35_T_i,h35_age,h35_status,h36_score,h36_kappa,h36_r_i,h36_T_i,h36_age,h36_status,h37_score,h37_kappa,h37_r_i,h37_T_i,h37_age,h37_status,h38_score,h38_kappa,h38_r_i,h38_T_i,h38_age,h38_status,h39_score,h39_kappa,h39_r_i,h39_T_i,h39_age,h39_status
126,2.3902,0.76,0.5467,1.0,10,BLOCKED,0.2158,0.13,0.4084,1.0,10,BLOCKED,0.3419,0.49,0.1512,1.0,10,BLOCKED,3.0309,0.85,0.6176,1.0,8,SELECTED,2.4171,0.67,0.6751,1.0,2,BLOCKED,2.5481,0.94,0.4855,1.0,4,BLOCKED,1.0049,0.22,0.8391,1.0,10,BLOCKED,1.7014,0.4,0.7517,1.0,10,BLOCKED,2.9543,0.58,0.8784,1.0,10,BLOCKED,0.5234,0.31,0.3366,1.0,10,BLOCKED
132,4.4573,0.76,1.0,1.0,10,BLOCKED,0.6773,0.13,1.0,1.0,10,BLOCKED,2.8373,0.49,1.0,1.0,10,BLOCKED,4.8033,0.85,1.0,1.0,2,BLOCKED,3.83,0.67,1.0,1.0,4,BLOCKED,5.4957,0.94,1.0,1.0,6,SELECTED,1.2173,0.22,1.0,1.0,10,BLOCKED,2.2973,0.4,1.0,1.0,10,BLOCKED,3.3773,0.58,1.0,1.0,10,BLOCKED,1.7573,0.31,1.0,1.0,10,BLOCKED
138,4.4573,0.76,1.0,1.0,10,BLOCKED,0.6773,0.13,1.0,1.0,10,BLOCKED,2.8373,0.49,1.0,1.0,10,BLOCKED,4.91,0.85,1.0,1.0,4,BLOCKED,3.8757,0.67,1.0,1.0,6,BLOCKED,5.3433,0.94,1.0,1.0,2,SELECTED,1.2173,0.22,1.0,1.0,10,BLOCKED,2.2973,0.4,1.0,1.0,10,BLOCKED,3.3773,0.58,1.0,1.0,10,BLOCKED,1.7573,0.31,1.0,1.0,10,BLOCKED
144,4.4573,0.76,1.0,1.0,10,BLOCKED,0.6773,0.13,1.0,1.0,10,BLOCKED,2.8373,0.49,1.0,1.0,10,BLOCKED,4.9557,0.85,1.0,1.0,6,BLOCKED,0.8645,0.67,0.2446,1.0,8,BLOCKED,5.3433,0.94,1.0,1.0,2,SELECTED,1.2173,0.22,1.0,1.0,10,BLOCKED,2.2973,0.4,1.0,1.0,10,BLOCKED,3.3773,0.58,1.0,1.0,10,BLOCKED,0.3138,0.31,0.2239,1.0,10,BLOCKED
150,4.4573,0.76,1.0,1.0,10,BLOCKED,0.6773,0.13,1.0,1.0,10,BLOCKED,2.8373,0.49,1.0,1.0,10,BLOCKED,4.9811,0.85,1.0,1.0,8,BLOCKED,3.9173,0.67,1.0,1.0,10,BLOCKED,5.3433,0.94,1.0,1.0,2,SELECTED,1.2173,0.22,1.0,1.0,10,BLOCKED,2.2973,0.4,1.0,1.0,10,BLOCKED,3.3773,0.58,1.0,1.0,10,BLOCKED,1.7573,0.31,1.0,1.0,10,BLOCKED
156,4.4573,0.76,1.0,1.0,10,BLOCKED,0.6773,0.13,1.0,1.0,10,BLOCKED,2.8373,0.49,1.0,1.0,10,BLOCKED,4.9973,0.85,1.0,1.0,10,BLOCKED,3.9173,0.67,1.0,1.0,10,BLOCKED,5.3433,0.94,1.0,1.0,2,SELECTED,1.2173,0.22,1.0,1.0,10,BLOCKED,2.2973,0.4,1.0,1.0,10,BLOCKED,3.3773,0.58,1.0,1.0,10,BLOCKED,1.7573,0.31,1.0,1.0,10,BLOCKED
162,4.4573,0.76,1.0,1.0,10,BLOCKED,0.6773,0.13,1.0,1.0,10,BLOCKED,2.8373,0.49,1.0,1.0,10,BLOCKED,4.9973,0.85,1.0,1.0,10,BLOCKED,3.9173,0.67,1.0,1.0,10,BLOCKED,5.3433,0.94,1.0,1.0,2,SELECTED,1.2173,0.22,1.0,1.0,10,BLOCKED,2.2973,0.4,1.0,1.0,10,BLOCKED,3.3773,0.58,1.0,1.0,10,BLOCKED,1.7573,0.31,1.0,1.0,10,BLOCKED
168,4.4573,0.76,1.0,1.0,10,BLOCKED,0.6773,0.13,1.0,1.0,10,BLOCKED,2.8373,0.49,1.0,1.0,10,BLOCKED,4.9973,0.85,1.0,1.0,10,BLOCKED,3.9173,0.67,1.0,1.0,10,BLOCKED,5.3433,0.94,1.0,1.0,2,SELECTED,1.2173,0.22,1.0,1.0,10,BLOCKED,2.2973,0.4,1.0,1.0,10,BLOCKED,3.3773,0.58,1.0,1.0,10,BLOCKED,1.7573,0.31,1.0,1.0,10,BLOCKED
174,4.4573,0.76,1.0,1.0,10,BLOCKED,0.6773,0.13,1.0,1.0,10,BLOCKED,2.8373,0.49,1.0,1.0,10,BLOCKED,4.9973,0.85,1.0,1.0,10,BLOCKED,3.9173,0.67,1.0,1.0,10,BLOCKED,5.3433,0.94,1.0,1.0,2,SELECTED,1.2173,0.22,1.0,1.0,10,BLOCKED,2.2973,0.4,1.0,1.0,10,BLOCKED,3.3773,0.58,1.0,1.0,10,BLOCKED,1.7573,0.31,1.0,1.0,10,BLOCKED
180,4.4573,0.76,1.0,1.0,10,BLOCKED,0.6773,0.13,1.0,1.0,10,BLOCKED,2.8373,0.49,1.0,1.0,10,BLOCKED,4.9973,0.85,1.0,1.0,10,BLOCKED,3.9173,0.67,1.0,1.0,10,BLOCKED,5.3433,0.94,1.0,1.0,2,SELECTED,1.2173,0.22,1.0,1.0,10,BLOCKED,2.2973,0.4,1.0,1.0,10,BLOCKED,3.3773,0.58,1.0,1.0,10,BLOCKED,1.7573,0.31,1.0,1.0,10,BLOCKED
186,4.4573,0.76,1.0,1.0,10,BLOCKED,0.6773,0.13,1.0,1.0,10,BLOCKED,2.8373,0.49,1.0,1.0,10,BLOCKED,4.9973,0.85,1.0,1.0,10,BLOCKED,3.9173,0.67,1.0,1.0,10,BLOCKED,5.3433,0.94,1.0,1.0,2,SELECTED,1.2173,0.22,1.0,1.0,10,BLOCKED,2.2973,0.4,1.0,1.0,10,BLOCKED,3.3773,0.58,1.0,1.0,10,BLOCKED,1.7573,0.31,1.0,1.0,10,BLOCKED
