step,h1-h30_score,h1-h30_kappa_f,h1-h30_r_f,h1-h30_phi_f,h1-h30_age,h1-h30_status,h1-h31_score,h1-h31_kappa_f,h1-h31_r_f,h1-h31_phi_f,h1-h31_age,h1-h31_status,h1-h32_score,h1-h32_kappa_f,h1-h32_r_f,h1-h32_phi_f,h1-h32_age,h1-h32_status,h1-h33_score,h1-h33_kappa_f,h1-h33_r_f,h1-h33_phi_f,h1-h33_age,h1-h33_status,h1-h34_score,h1-h34_kappa_f,h1-h34_r_f,h1-h34_phi_f,h1-h34_age,h1-h34_status,h1-h35_score,h1-h35_kappa_f,h1-h35_r_f,h1-h35_phi_f,h1-h35_age,h1-h35_status,h1-h36_score,h1-h36_kappa_f,h1-h36_r_f,h1-h36_phi_f,h1-h36_age,h1-h36_status,h1-h37_score,h1-h37_kappa_f,h1-h37_r_f,h1-h37_phi_f,h1-h37_age,h1-h37_status,h1-h38_score,h1-h38_kappa_f,h1-h38_r_f,h1-h38_phi_f,h1-h38_age,h1-h38_status,h1-h39_score,h1-h39_kappa_f,h1-h39_r_f,h1-h39_phi_f,h1-h39_age,h1-h39_status
138,2.7782,0.705,0.3278,1.0,5,SELECTED,2.4482,0.39,0.3446,1.0,9,BLOCKED,2.5123,0.57,0.2167,1.0,10,BLOCKED,2.7354,0.75,0.4002,1.0,1,SELECTED,2.5967,0.66,0.3847,1.0,1,BLOCKED,3.0827,0.795,0.5232,1.0,1,SELECTED,1.7877,0.435,0.2818,1.0,0,BLOCKED,2.6065,0.525,0.4676,1.0,2,BLOCKED,2.6698,0.615,0.3847,1.0,2,BLOCKED,2.5444,0.48,0.3989,1.0,4,BLOCKED
144,2.623,0.705,0.4151,1.0,1,BLOCKED,2.3382,0.39,0.2448,1.0,10,BLOCKED,2.4749,0.57,0.1948,1.0,10,BLOCKED,2.8858,0.75,0.4115,1.0,2,SELECTED,2.6577,0.66,0.3524,1.0,2,SELECTED,2.9489,0.795,0.467,1.0,1,SELECTED,1.7297,0.435,0.2374,1.0,0,BLOCKED,2.5863,0.525,0.4151,1.0,3,BLOCKED,2.5701,0.615,0.2968,1.0,3,BLOCKED,2.5057,0.48,0.3546,1.0,5,BLOCKED
150,2.4769,0.705,0.2869,1.0,2,BLOCKED,2.2404,0.39,0.1611,1.0,10,BLOCKED,2.3304,0.57,0.1103,1.0,10,BLOCKED,2.7601,0.75,0.3278,1.0,3,SELECTED,2.5041,0.66,0.3834,1.0,1,BLOCKED,2.6593,0.795,0.3834,1.0,1,SELECTED,1.6201,0.435,0.1533,1.0,0,BLOCKED,2.5094,0.525,0.3425,1.0,4,SELECTED,2.4748,0.615,0.2248,1.0,4,BLOCKED,2.403,0.48,0.2709,1.0,6,BLOCKED
156,2.5469,0.705,0.2905,1.0,3,SELECTED,2.2481,0.39,0.1678,1.0,10,BLOCKED,2.3221,0.57,0.1054,1.0,10,BLOCKED,2.6087,0.75,0.3839,1.0,1,SELECTED,2.5322,0.66,0.3345,1.0,2,BLOCKED,2.7552,0.795,0.3858,1.0,1,SELECTED,1.631,0.435,0.1617,1.0,0,BLOCKED,2.2718,0.525,0.3345,1.0,1,BLOCKED,2.4894,0.615,0.2192,1.0,5,BLOCKED,2.3463,0.48,0.2223,1.0,7,BLOCKED
162,2.1585,0.705,0.1955,1.0,1,BLOCKED,2.1505,0.39,0.0844,1.0,10,BLOCKED,2.2765,0.57,0.0788,1.0,10,BLOCKED,2.6746,0.75,0.3732,1.0,1,SELECTED,2.4296,0.66,0.251,1.0,3,BLOCKED,2.6064,0.795,0.3612,1.0,1,SELECTED,1.5226,0.435,0.0786,1.0,0,BLOCKED,2.2654,0.525,0.251,1.0,2,BLOCKED,2.4571,0.615,0.192,1.0,6,SELECTED,2.2367,0.48,0.1389,1.0,8,BLOCKED
168,2.3379,0.705,0.2212,1.0,2,BLOCKED,2.1807,0.39,0.1101,1.0,10,BLOCKED,2.2844,0.57,0.0834,1.0,10,BLOCKED,2.6357,0.75,0.3959,1.0,1,SELECTED,2.4081,0.66,0.2212,1.0,4,SELECTED,2.6702,0.795,0.3879,1.0,1,SELECTED,1.5584,0.435,0.106,1.0,0,BLOCKED,2.281,0.525,0.2212,1.0,3,BLOCKED,2.1519,0.615,0.2205,1.0,1,BLOCKED,2.2826,0.48,0.165,1.0,9,BLOCKED
174,2.2362,0.705,0.1436,1.0,3,SELECTED,2.0898,0.39,0.0325,1.0,10,BLOCKED,2.1612,0.57,0.0113,1.0,10,BLOCKED,2.4431,0.75,0.3103,1.0,1,SELECTED,2.1393,0.66,0.1991,1.0,1,BLOCKED,2.5245,0.795,0.2891,1.0,1,SELECTED,1.4578,0.435,0.029,1.0,0,BLOCKED,2.1962,0.525,0.1436,1.0,4,BLOCKED,2.1338,0.615,0.143,1.0,2,BLOCKED,2.0977,0.48,0.0319,1.0,10,BLOCKED
180,2.2637,0.705,0.2453,1.0,1,SELECTED,2.1383,0.39,0.0739,1.0,10,BLOCKED,2.2208,0.57,0.0462,1.0,10,BLOCKED,2.5469,0.75,0.3564,1.0,1,SELECTED,2.2363,0.66,0.185,1.0,2,BLOCKED,2.595,0.795,0.3564,1.0,1,SELECTED,1.5133,0.435,0.0715,1.0,0,BLOCKED,2.1989,0.525,0.1295,1.0,5,BLOCKED,2.1706,0.615,0.129,1.0,3,BLOCKED,2.1576,0.48,0.0735,1.0,10,BLOCKED
186,2.1671,0.705,0.1996,1.0,1,SELECTED,2.0788,0.39,0.023,1.0,10,BLOCKED,1.0312,0.57,0.023,0.5,10,BLOCKED,2.534,0.75,0.3107,1.0,1,SELECTED,2.2176,0.66,0.144,1.0,3,SELECTED,1.426,0.795,0.3107,0.5,1,BLOCKED,0.3034,0.435,0.0256,0.5,0,BLOCKED,2.1522,0.525,0.0885,1.0,6,BLOCKED,2.1656,0.615,0.106,1.0,4,BLOCKED,2.1245,0.48,0.0504,1.0,10,BLOCKED
192,2.2798,0.705,0.2529,1.0,1,SELECTED,2.0783,0.39,0.0226,1.0,10,BLOCKED,2.1795,0.57,0.0221,1.0,10,BLOCKED,2.4209,0.75,0.3004,1.0,1,SELECTED,2.2507,0.66,0.1417,1.0,4,BLOCKED,2.5631,0.795,0.2529,1.0,2,SELECTED,1.4488,0.435,0.0221,1.0,0,BLOCKED,2.162,0.525,0.0862,1.0,7,BLOCKED,2.1382,0.615,0.0776,1.0,5,BLOCKED,2.0836,0.48,0.0221,1.0,10,BLOCKED
