timestep,action_taken,sel_ip_hosts,c_ip_hosts,ip_top1_host,ip_top1_score,ip_top1_r_i,ip_top1_T_i,ip_top1_kappa,ip_top1_A_i,ip_mean_score,ip_mean_r_i,ip_mean_T_i,ip_mean_kappa,sel_rrm_pairs,c_rrm_pairs,rrm_top1_pair,rrm_top1_score,rrm_top1_r_f,rrm_top1_phi_f,rrm_top1_kappa_f,rrm_top1_A_f,rrm_mean_score,rrm_mean_r_f,rrm_mean_phi_f,rrm_mean_kappa_f
2664,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.77175,0.15,1.0,0.555
2670,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.78075,0.15,1.0,0.555
2676,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.915,0.5,1.0,0.72,1,1.78075,0.15,1.0,0.555
2682,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.78975,0.15,1.0,0.555
2688,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.915,0.5,1.0,0.72,1,1.78975,0.15,1.0,0.555
2694,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.77175,0.15,1.0,0.555
2700,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.915,0.5,1.0,0.72,1,1.78975,0.15,1.0,0.555
2706,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.77175,0.15,1.0,0.555
2712,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.77175,0.15,1.0,0.555
2718,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.77175,0.15,1.0,0.555
2724,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.78075,0.15,1.0,0.555
2730,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.77175,0.15,1.0,0.555
2736,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.915,0.5,1.0,0.72,1,1.78975,0.15,1.0,0.555
2742,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.79325,0.15,1.0,0.555
2748,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.77175,0.15,1.0,0.555
2754,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.78075,0.15,1.0,0.555
2760,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.78975,0.15,1.0,0.555
2766,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.915,0.5,1.0,0.72,1,1.78075,0.15,1.0,0.555
2772,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.77175,0.15,1.0,0.555
2778,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.78075,0.15,1.0,0.555
2784,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.78075,0.15,1.0,0.555
2790,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.915,0.5,1.0,0.72,1,1.78975,0.15,1.0,0.555
2796,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.78075,0.15,1.0,0.555
2802,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.915,0.5,1.0,0.72,1,1.78975,0.15,1.0,0.555
2808,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.77175,0.15,1.0,0.555
2814,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.78075,0.15,1.0,0.555
2820,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.77175,0.15,1.0,0.555
2826,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.915,0.5,1.0,0.72,1,1.78075,0.15,1.0,0.555
2832,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.915,0.5,1.0,0.72,1,1.78975,0.15,1.0,0.555
2838,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,3.04,0.5,1.0,0.72,2,1.81475,0.15,1.0,0.555
2844,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,3.04,0.5,1.0,0.72,2,1.80225,0.15,1.0,0.555
2850,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,3.1025,0.5,1.0,0.72,3,1.8085,0.15,1.0,0.555
2856,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.825,0.5,1.0,0.72,1,1.77175,0.15,1.0,0.555
2862,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.915,0.5,1.0,0.72,1,1.78075,0.15,1.0,0.555
2868,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.915,0.5,1.0,0.72,1,1.78075,0.15,1.0,0.555
2874,route,none,none,h30,-0.13636,0.0,0.0,0.79,10,-0.13636,0.0,0.0,0.46,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,3.04,0.5,1.0,0.72,2,1.81125,0.15,1.0,0.555
2880,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.77625,0.15,1.0,0.5925
2886,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.77625,0.15,1.0,0.5925
2892,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
2898,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.9275,0.5,1.0,0.705,2,1.77975,0.15,1.0,0.5925
2904,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
2910,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
2916,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8925,0.5,1.0,0.705,1,1.78525,0.15,1.0,0.5925
2922,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.77625,0.15,1.0,0.5925
2928,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.78525,0.15,1.0,0.5925
2934,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.9275,0.5,1.0,0.705,2,1.78875,0.15,1.0,0.5925
2940,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.9275,0.5,1.0,0.705,2,1.79775,0.15,1.0,0.5925
2946,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.99,0.5,1.0,0.705,3,1.786,0.15,1.0,0.5925
2952,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.78525,0.15,1.0,0.5925
2958,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
2964,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
2970,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.77625,0.15,1.0,0.5925
2976,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.78525,0.15,1.0,0.5925
2982,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.77625,0.15,1.0,0.5925
2988,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
2994,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8925,0.5,1.0,0.705,1,1.78525,0.15,1.0,0.5925
3000,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.78525,0.15,1.0,0.5925
3006,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.78525,0.15,1.0,0.5925
3012,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8925,0.5,1.0,0.705,1,1.79425,0.15,1.0,0.5925
3018,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
3024,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.78525,0.15,1.0,0.5925
3030,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
3036,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
3042,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
3048,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8925,0.5,1.0,0.705,1,1.77625,0.15,1.0,0.5925
3054,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8925,0.5,1.0,0.705,1,1.77625,0.15,1.0,0.5925
3060,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.78525,0.15,1.0,0.5925
3066,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
3072,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.77625,0.15,1.0,0.5925
3078,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
3084,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
3090,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.78525,0.15,1.0,0.5925
3096,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8925,0.5,1.0,0.705,1,1.77625,0.15,1.0,0.5925
3102,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
3108,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8925,0.5,1.0,0.705,1,1.77625,0.15,1.0,0.5925
3114,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.76725,0.15,1.0,0.5925
3120,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8925,0.5,1.0,0.705,1,1.78525,0.15,1.0,0.5925
3126,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.77625,0.15,1.0,0.5925
3132,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8025,0.5,1.0,0.705,1,1.78525,0.15,1.0,0.5925
3138,route,none,none,h30,-0.13636,0.0,0.0,0.76,10,-0.13636,0.0,0.0,0.535,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.8925,0.5,1.0,0.705,1,1.78525,0.15,1.0,0.5925
