action,cycle_id,link_id,link_mbps,link_monitor,link_usage_norm,rx_mbps,rx_pps,timestamp,tx_mbps,tx_pps
route_mutation,20260623T155602_727769,of:000000000000000b:2 -> of:000000000000000c:2,0.002,0.0025,0.002,0.002,2.13,2026-06-23T15:56:02,0.002,2.13
route_mutation,20260623T155602_727769,of:0000000000000001:2 -> of:000000000000000c:1,0.002,0.0025,0.002,0.002,2.33,2026-06-23T15:56:02,0.002,2.33
route_mutation,20260623T155602_727769,of:0000000000000006:2 -> of:000000000000000a:2,0.002,0.0025,0.002,0.002,2.06,2026-06-23T15:56:02,0.002,2.06
route_mutation,20260623T155602_727769,of:0000000000000001:3 -> of:000000000000000d:1,0.002,0.0025,0.002,0.002,1.73,2026-06-23T15:56:02,0.002,1.73
route_mutation,20260623T155602_727769,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,2.86,2026-06-23T15:56:02,0.002,2.86
route_mutation,20260623T155602_727769,of:0000000000000006:1 -> of:000000000000000d:4,0.002,0.0025,0.002,0.002,1.67,2026-06-23T15:56:02,0.002,1.67
route_mutation,20260623T155602_727769,of:0000000000000007:2 -> of:000000000000000a:3,0.002,0.0025,0.002,0.002,2.06,2026-06-23T15:56:02,0.002,2.06
route_mutation,20260623T155602_727769,of:0000000000000007:1 -> of:000000000000000d:5,0.002,0.0025,0.002,0.002,1.67,2026-06-23T15:56:02,0.002,1.67
route_mutation,20260623T155602_727769,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,2.06,2026-06-23T15:56:02,0.002,2.06
route_mutation,20260623T155602_727769,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,2.06,2026-06-23T15:56:02,0.002,2.06
route_mutation,20260623T155602_727769,of:0000000000000008:1 -> of:000000000000000b:6,0.002,0.0025,0.002,0.002,1.67,2026-06-23T15:56:02,0.002,1.67
route_mutation,20260623T155602_727769,of:0000000000000004:2 -> of:0000000000000009:2,0.002,0.0025,0.002,0.002,2.06,2026-06-23T15:56:02,0.002,2.06
route_mutation,20260623T155602_727769,of:0000000000000002:1 -> of:000000000000000b:4,0.002,0.0025,0.002,0.002,2.86,2026-06-23T15:56:02,0.002,2.86
route_mutation,20260623T155602_727769,of:0000000000000009:1 -> of:000000000000000c:6,0.002,0.0025,0.002,0.002,1.73,2026-06-23T15:56:02,0.002,1.73
route_mutation,20260623T155633_131034,of:0000000000000004:1 -> of:000000000000000c:4,0.002,0.0025,0.002,0.002,2.03,2026-06-23T15:56:33,0.002,2.1
route_mutation,20260623T155633_131034,of:0000000000000005:1 -> of:000000000000000c:5,0.002,0.0025,0.002,0.002,2.7,2026-06-23T15:56:33,0.002,2.76
route_mutation,20260623T155633_131034,of:000000000000000a:1 -> of:000000000000000d:6,0.002,0.0025,0.002,0.002,1.86,2026-06-23T15:56:33,0.002,1.9
route_mutation,20260623T155633_131034,of:000000000000000b:3 -> of:000000000000000d:2,0.002,0.0025,0.002,0.002,2.56,2026-06-23T15:56:33,0.002,2.56
route_mutation,20260623T155633_131034,of:000000000000000c:3 -> of:000000000000000d:3,0.002,0.0025,0.002,0.002,2.6,2026-06-23T15:56:33,0.002,2.6
route_mutation,20260623T155633_131034,of:0000000000000005:2 -> of:0000000000000009:3,0.002,0.0025,0.002,0.002,2.56,2026-06-23T15:56:33,0.002,2.56
route_mutation,20260623T155633_131034,of:0000000000000001:1 -> of:000000000000000b:1,0.002,0.0025,0.002,0.002,1.93,2026-06-23T15:56:33,0.002,1.9
route_mutation,20260623T155633_131034,of:000000000000000b:2 -> of:000000000000000c:2,0.002,0.0025,0.002,0.002,2.56,2026-06-23T15:56:33,0.002,2.56
route_mutation,20260623T155633_131034,of:0000000000000001:2 -> of:000000000000000c:1,0.002,0.0025,0.002,0.002,2.96,2026-06-23T15:56:33,0.002,2.9
route_mutation,20260623T155633_131034,of:0000000000000006:2 -> of:000000000000000a:2,0.002,0.0025,0.002,0.002,2.6,2026-06-23T15:56:33,0.002,2.6
route_mutation,20260623T155633_131034,of:0000000000000001:3 -> of:000000000000000d:1,0.003,0.00375,0.003,0.003,3.43,2026-06-23T15:56:33,0.003,3.5
route_mutation,20260623T155633_131034,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,1.9,2026-06-23T15:56:33,0.002,1.93
route_mutation,20260623T155633_131034,of:0000000000000006:1 -> of:000000000000000d:4,0.003,0.00375,0.003,0.003,3.23,2026-06-23T15:56:33,0.003,3.26
route_mutation,20260623T155633_131034,of:0000000000000007:2 -> of:000000000000000a:3,0.002,0.0025,0.002,0.002,2.6,2026-06-23T15:56:33,0.002,2.6
route_mutation,20260623T155633_131034,of:0000000000000007:1 -> of:000000000000000d:5,0.002,0.0025,0.002,0.002,2.23,2026-06-23T15:56:33,0.002,2.2
route_mutation,20260623T155633_131034,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,2.63,2026-06-23T15:56:33,0.002,2.63
