x,L,MPE
0.145,3,0.6250263749999999
0.15,3,0.6141249999999999
0.155,3,0.603351125
0.16,3,0.5927039999999999
0.165,3,0.5821828749999999
0.17,3,0.5717869999999999
0.17500000000000002,3,0.561515625
0.18,3,0.5513680000000001
0.185,3,0.5413433749999998
0.19,3,0.531441
0.195,3,0.5216601249999999
0.2,3,0.5120000000000001
0.20500000000000002,3,0.5024598749999999
0.21,3,0.49303900000000006
0.215,3,0.48373662500000003
0.22,3,0.47455200000000003
0.225,3,0.46548437500000006
0.23,3,0.456533
0.23500000000000001,3,0.44769712500000003
0.24,3,0.43897600000000003
0.245,3,0.430368875
0.25,3,0.421875
0.0,4,1.0
0.005,4,0.980149500625
0.01,4,0.96059601
0.015,4,0.941336550625
0.02,4,0.9223681599999999
0.025,4,0.9036878906249999
0.03,4,0.8852928099999999
0.035,4,0.8671800006249999
0.04,4,0.8493465599999999
0.045,4,0.8317896006249998
0.05,4,0.8145062499999999
0.055,4,0.7974936506249999
0.06,4,0.7807489599999998
0.065,4,0.7642693506250001
0.07,4,0.7480520099999998
0.075,4,0.7320941406250001
0.08,4,0.7163929600000001
0.085,4,0.7009457006250001
0.09,4,0.6857496100000001
0.095,4,0.670801950625
0.1,4,0.6561
0.105,4,0.6416410506250001
0.11,4,0.62742241
0.115,4,0.6134414006250001
0.12,4,0.59969536
0.125,4,0.586181640625
0.13,4,0.57289761
0.135,4,0.559840650625
0.14,4,0.54700816
0.145,4,0.5343975506249999
0.15,4,0.5220062499999999
0.155,4,0.5098317006249999
0.16,4,0.49787135999999993
0.165,4,0.4861227006249999
0.17,4,0.4745832099999999
0.17500000000000002,4,0.4632503906249999
0.18,4,0.45212176000000015
0.185,4,0.44119485062499986
0.19,4,0.4304672100000001
0.195,4,0.4199364006249999
0.2,4,0.4096000000000001
0.20500000000000002,4,0.39945560062499985
0.21,4,0.3895008100000001
0.215,4,0.3797332506250001
0.22,4,0.3701505600000001
0.225,4,0.36075039062500003
0.23,4,0.35153041
0.23500000000000001,4,0.342488300625
0.24,4,0.33362176
0.245,4,0.324928500625
0.25,4,0.31640625
0.0,5,1.0
0.005,5,0.975248753121875
0.01,5,0.9509900498999999
0.015,5,0.9272165023656249
0.02,5,0.9039207967999999
0.025,5,0.8810956933593749
0.03,5,0.8587340256999999
0.035,5,0.8368287006031249
0.04,5,0.8153726975999999
0.045,5,0.7943590685968749
0.05,5,0.7737809374999998
0.055,5,0.7536314998406248
0.06,5,0.7339040223999997
0.065,5,0.7145918428343752
0.07,5,0.6956883692999998
0.075,5,0.6771870800781251
0.08,5,0.6590815232000001
0.085,5,0.6413653160718751
0.09,5,0.6240321451000002
0.095,5,0.6070757653156251
0.1,5,0.5904900000000001
0.105,5,0.574268740309375
0.11,5,0.5584059449000001
0.115,5,0.542895639553125
0.12,5,0.5277319168
0.125,5,0.512908935546875
0.13,5,0.4984209207
0.135,5,0.48426216279062495
0.14,5,0.47042701759999994
0.145,5,0.45690990578437496
0.15,5,0.44370531249999995
0.155,5,0.43080778702812494
0.16,5,0.4182119423999999
0.165,5,0.4059124550218749
0.17,5,0.3939040642999999
0.17500000000000002,5,0.3821815722656249
0.18,5,0.37073984320000014
0.185,5,0.3595738032593749
0.19,5,0.3486784401000001
0.195,5,0.33804880250312486
0.2,5,0.3276800000000001
0.20500000000000002,5,0.31756720249687487
0.21,5,0.30770563990000005
0.215,5,0.29809060174062507
0.22,5,0.28871743680000006
0.225,5,0.279581552734375
0.23,5,0.2706784157
0.23500000000000001,5,0.262003549978125
0.24,5,0.2535525376
0.245,5,0.245321017971875
0.25,5,0.2373046875
