timestamp,host_id,mac,ipAddresses,vlan,switch_id,port
2026-06-08 17:01:21,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:01:26,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:01:26,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:01:31,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:01:31,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:01:36,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:01:36,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:01:41,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:01:41,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:01:46,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:01:46,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:01:51,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:01:51,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:01:56,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:01:56,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
2026-06-08 17:02:01,00:00:00:00:00:01/None,00:00:00:00:00:01,,None,of:0000000000000001,4
2026-06-08 17:02:01,00:00:00:00:00:02/None,00:00:00:00:00:02,,None,of:0000000000000002,3
